po_id,po_date,supplier_id,product_id,ordered_qty,lead_time_days,late_flag
PO00056,2024-12-08,S017,P0069,448,27,1
PO00057,2024-05-06,S020,P0076,466,22,0
PO00058,2025-01-19,S009,P0119,89,16,0
PO00059,2024-04-01,S001,P0030,291,12,0
PO00060,2024-12-27,S013,P0027,423,8,0
PO00061,2024-01-29,S004,P0043,377,12,0
PO00062,2024-04-19,S004,P0005,209,25,0
PO00063,2025-02-12,S012,P0020,392,22,0
PO00064,2024-04-07,S008,P0052,248,30,0
PO00065,2024-02-25,S017,P0021,177,11,0
PO00066,2024-12-25,S016,P0003,447,15,0
PO00067,2024-02-19,S012,P0041,313,16,0
PO00068,2024-02-10,S010,P0114,309,3,0
PO00069,2024-05-15,S012,P0064,210,3,1
PO00070,2024-09-23,S007,P0108,250,21,0
PO00071,2024-10-25,S015,P0119,224,11,0
PO00072,2025-01-05,S001,P0068,35,7,0
PO00073,2024-08-15,S001,P0088,421,19,0
PO00074,2024-06-14,S012,P0071,349,18,1
PO00075,2024-05-30,S004,P0024,491,14,1
PO00076,2024-12-21,S001,P0052,301,7,0
PO00077,2024-10-31,S005,P0075,27,8,1
PO00078,2025-01-15,S004,P0002,434,22,0
PO00079,2025-02-08,S012,P0119,441,25,0
PO00080,2024-05-06,S004,P0044,374,13,0
PO00081,2024-08-10,S013,P0041,302,21,1
PO00082,2024-09-22,S017,P0070,86,23,0
PO00083,2024-03-09,S013,P0007,29,8,1
PO00084,2024-01-23,S016,P0038,427,25,0
PO00085,2024-12-30,S017,P0082,33,12,0
PO00086,2024-08-12,S008,P0045,82,17,0
PO00087,2024-08-27,S012,P0009,304,20,0
PO00088,2024-08-21,S012,P0053,447,23,0
PO00089,2024-11-13,S018,P0028,484,31,0
PO00090,2024-03-02,S010,P0019,262,9,0
PO00091,2024-09-14,S010,P0068,341,25,1
PO00092,2024-07-16,S007,P0004,151,30,0
PO00093,2025-01-11,S010,P0013,328,5,0
PO00094,2024-08-06,S012,P0092,261,26,0
PO00095,2025-01-31,S019,P0011,243,18,0
PO00096,2024-05-28,S016,P0117,202,15,0
PO00097,2025-02-10,S004,P0002,342,19,0
PO00098,2025-01-02,S017,P0070,461,6,1
PO00099,2024-09-02,S005,P0012,173,21,0
PO00100,2024-05-28,S004,P0119,62,6,1
PO00101,2024-06-06,S004,P0104,142,29,1
PO00102,2024-11-20,S009,P0037,339,27,0
PO00103,2024-08-31,S013,P0056,121,29,1
PO00104,2024-06-17,S016,P0088,451,14,0
PO00105,2024-09-24,S007,P0052,41,33,1
PO00106,2024-11-03,S001,P0119,349,26,0
PO00107,2024-01-10,S009,P0073,452,29,0
PO00108,2024-02-07,S007,P0090,492,6,0
PO00109,2024-02-09,S005,P0004,471,31,0
PO00110,2024-04-07,S016,P0105,303,26,0
PO00111,2024-06-28,S020,P0108,383,19,0
PO00112,2024-12-03,S001,P0004,476,30,0
PO00113,2024-05-27,S019,P0049,178,26,0
PO00114,2024-01-08,S009,P0052,118,28,0
PO00115,2024-07-22,S009,P0034,456,20,0
PO00116,2025-02-22,S012,P0022,199,24,0
PO00117,2024-05-26,S019,P0013,326,8,0
PO00118,2025-02-07,S007,P0063,53,21,0
PO00119,2024-02-12,S005,P0015,58,31,0
PO00120,2024-03-13,S001,P0040,34,7,0
PO00121,2024-10-31,S012,P0038,300,4,0
PO00122,2024-07-29,S003,P0105,496,13,1
PO00123,2024-11-17,S001,P0118,314,26,1
PO00124,2024-12-28,S015,P0107,125,26,0
PO00125,2024-04-15,S007,P0055,165,15,0
PO00126,2024-10-13,S002,P0044,111,7,0
PO00127,2024-09-12,S003,P0117,418,25,0
PO00128,2024-12-27,S016,P0120,494,10,0
PO00129,2024-06-29,S002,P0066,325,13,1
PO00130,2024-01-22,S005,P0066,152,6,0
PO00131,2024-08-29,S020,P0043,230,20,0
PO00132,2025-02-06,S002,P0072,113,32,1
PO00133,2024-01-07,S003,P0038,106,17,0
PO00134,2024-04-10,S016,P0082,236,7,1
PO00135,2024-05-12,S010,P0118,143,25,1
PO00136,2024-11-17,S001,P0029,372,33,0
PO00137,2024-05-15,S004,P0075,160,14,0
PO00138,2024-04-10,S017,P0056,285,6,0
PO00139,2024-09-29,S005,P0006,493,6,1
PO00140,2024-01-20,S012,P0009,300,22,0
PO00141,2024-03-12,S016,P0022,401,11,0
PO00142,2024-06-20,S011,P0046,452,11,1
PO00143,2024-05-29,S012,P0115,232,16,1
PO00144,2024-05-25,S020,P0089,338,29,0
PO00145,2024-02-15,S020,P0031,428,28,0
PO00146,2024-05-31,S003,P0021,267,26,0
PO00147,2024-12-01,S014,P0038,497,29,0
PO00148,2024-06-22,S004,P0052,479,10,0
PO00149,2024-09-03,S016,P0019,369,25,0
PO00150,2024-03-09,S002,P0010,124,3,0
PO00151,2024-01-30,S017,P0046,139,26,0
PO00152,2025-01-04,S017,P0101,354,13,0
PO00153,2024-05-19,S003,P0076,448,29,0
PO00154,2024-05-27,S003,P0083,40,6,0
PO00155,2025-01-03,S004,P0066,28,31,0
PO00156,2024-10-24,S004,P0079,290,19,0
PO00157,2024-11-13,S016,P0038,459,19,0
PO00158,2024-10-13,S003,P0062,72,21,1
PO00159,2024-02-14,S012,P0072,247,15,0
PO00160,2025-02-06,S012,P0046,228,21,0
PO00161,2025-01-16,S016,P0035,44,28,0
PO00162,2024-04-09,S010,P0102,312,19,0
PO00163,2024-12-03,S016,P0043,218,26,0
PO00164,2024-06-20,S007,P0030,340,22,0
PO00165,2024-10-14,S019,P0073,35,14,0
PO00166,2024-03-10,S016,P0063,44,22,0
PO00167,2024-08-14,S005,P0030,303,16,0
PO00168,2024-02-23,S004,P0113,407,24,0
PO00169,2024-08-13,S013,P0083,357,11,0
PO00170,2024-04-12,S003,P0029,59,27,1
PO00171,2024-07-09,S013,P0066,425,14,0
PO00172,2024-10-07,S007,P0092,290,26,1
PO00173,2025-01-03,S012,P0072,256,34,1
PO00174,2024-03-10,S016,P0089,62,33,0
PO00175,2025-01-10,S012,P0074,486,19,1
PO00176,2024-06-12,S017,P0022,107,18,1
PO00177,2024-12-20,S004,P0035,56,34,1
PO00178,2024-08-03,S019,P0042,78,14,0
PO00179,2024-12-28,S012,P0024,249,12,1
PO00180,2024-10-05,S007,P0026,337,28,0
PO00181,2024-08-01,S001,P0031,131,4,1
PO00182,2024-05-11,S020,P0087,497,5,0
PO00183,2025-02-10,S004,P0002,49,29,1
PO00184,2024-12-02,S012,P0039,422,7,0
PO00185,2024-06-09,S020,P0097,69,18,0
PO00186,2024-03-11,S011,P0088,452,23,1
PO00187,2024-11-23,S012,P0012,142,15,0
PO00188,2025-02-19,S019,P0101,318,28,0
PO00189,2024-04-27,S011,P0073,149,26,0
PO00190,2025-01-19,S017,P0044,60,20,1
PO00191,2024-02-22,S019,P0043,368,4,1
PO00192,2025-02-03,S012,P0108,404,26,0
PO00193,2024-11-09,S012,P0067,447,3,1
PO00194,2024-05-25,S002,P0108,191,11,0
PO00195,2024-05-07,S003,P0087,293,20,0
PO00196,2024-09-27,S004,P0088,218,30,0
PO00197,2024-09-06,S004,P0097,442,7,0
PO00198,2025-01-20,S017,P0094,148,5,0
PO00199,2024-11-17,S001,P0038,295,7,0
PO00200,2024-08-14,S001,P0107,82,14,0
PO00201,2025-01-24,S020,P0066,392,10,0
PO00202,2024-09-05,S011,P0040,83,10,0
PO00203,2024-12-22,S004,P0022,474,24,1
PO00204,2024-12-19,S007,P0075,332,27,1
PO00205,2025-01-21,S004,P0063,241,9,0
PO00206,2024-01-29,S018,P0059,93,4,0
PO00207,2024-09-02,S003,P0076,268,3,1
PO00208,2024-07-15,S019,P0019,127,26,0
PO00209,2024-07-25,S013,P0020,29,3,0
PO00210,2024-07-12,S017,P0119,323,10,0
PO00211,2024-12-17,S016,P0073,288,30,1
PO00212,2024-05-13,S012,P0043,265,27,1
PO00213,2024-07-13,S005,P0058,358,19,1
PO00214,2024-03-25,S002,P0082,373,25,0
PO00215,2024-04-15,S017,P0105,246,7,0
PO00216,2024-10-04,S010,P0111,343,31,1
PO00217,2024-02-19,S016,P0054,253,16,0
PO00218,2024-03-19,S017,P0082,476,10,0
PO00219,2024-08-09,S005,P0040,443,22,0
PO00220,2024-01-19,S007,P0100,479,33,0
PO00221,2024-02-23,S001,P0027,498,20,1
PO00222,2024-12-28,S015,P0013,56,25,0
PO00223,2024-12-21,S019,P0047,377,31,0
PO00224,2024-05-26,S005,P0072,398,9,0
PO00225,2024-05-26,S017,P0112,48,26,0
PO00226,2025-01-28,S014,P0107,330,16,0
PO00227,2024-01-11,S003,P0023,398,27,1
PO00228,2024-08-31,S001,P0119,211,16,0
PO00229,2024-09-07,S016,P0059,473,8,0
PO00230,2024-11-26,S015,P0077,152,5,0
PO00231,2025-02-03,S005,P0007,136,23,0
PO00232,2024-05-29,S012,P0050,318,16,0
PO00233,2024-07-02,S016,P0104,446,16,0
PO00234,2024-10-08,S004,P0066,173,5,0
PO00235,2025-02-10,S004,P0003,175,12,0
PO00236,2025-01-09,S020,P0106,198,34,0
PO00237,2024-10-07,S004,P0039,221,34,0
PO00238,2024-12-25,S019,P0087,279,11,0
PO00239,2024-02-05,S010,P0007,438,23,0
PO00240,2024-06-07,S009,P0068,192,9,1
PO00241,2024-01-06,S004,P0117,106,28,0
PO00242,2024-03-15,S015,P0055,94,9,0
PO00243,2024-09-21,S016,P0008,349,9,0
PO00244,2025-01-06,S005,P0032,450,14,1
PO00245,2024-09-22,S017,P0019,426,28,0
PO00246,2024-10-05,S002,P0118,467,6,0
PO00247,2024-02-13,S007,P0012,37,22,0
PO00248,2024-10-06,S004,P0057,143,15,0
PO00249,2024-07-09,S010,P0010,236,5,0
PO00250,2024-09-30,S003,P0078,126,22,0
PO00251,2024-05-16,S007,P0091,301,11,0
PO00252,2024-09-01,S001,P0108,220,23,0
PO00253,2024-06-27,S018,P0021,101,32,0
PO00254,2024-08-22,S005,P0020,362,24,0
PO00255,2024-03-02,S001,P0004,357,22,0
PO00256,2024-06-15,S020,P0019,229,15,0
PO00257,2024-06-06,S017,P0029,253,3,0
PO00258,2024-11-05,S001,P0071,213,31,0
PO00259,2024-10-23,S016,P0064,123,25,1
PO00260,2025-01-16,S017,P0117,446,31,1
PO00261,2024-09-22,S017,P0097,448,25,0
PO00262,2024-05-12,S005,P0072,435,8,0
PO00263,2024-11-24,S003,P0011,466,22,0
PO00264,2024-07-27,S005,P0033,242,28,0
PO00265,2024-03-22,S012,P0025,484,34,1
PO00266,2024-11-09,S016,P0033,218,31,0
PO00267,2024-02-25,S020,P0100,67,26,0
PO00268,2024-03-15,S005,P0026,402,30,0
PO00269,2024-11-14,S007,P0036,148,32,0
PO00270,2024-11-19,S019,P0011,44,10,0
PO00271,2024-11-28,S019,P0030,443,19,0
PO00272,2024-05-03,S005,P0057,335,33,1
PO00273,2024-12-29,S013,P0097,354,27,1
PO00274,2024-10-30,S004,P0010,352,26,0
PO00275,2024-12-16,S005,P0093,192,20,0
PO00276,2024-10-24,S010,P0025,70,27,0
PO00277,2024-08-31,S017,P0096,247,6,0
PO00278,2024-02-15,S002,P0068,103,28,0
PO00279,2024-10-25,S018,P0119,194,33,0
PO00280,2024-10-16,S017,P0057,426,32,1
PO00281,2024-05-11,S003,P0103,270,14,1
PO00282,2024-11-05,S012,P0034,295,24,0
PO00283,2024-08-19,S016,P0086,491,18,0
PO00284,2024-08-22,S009,P0077,496,32,1
PO00285,2024-06-03,S010,P0054,123,20,1
PO00286,2024-02-19,S017,P0051,346,12,0
PO00287,2024-04-01,S019,P0100,165,6,1
PO00288,2024-11-18,S019,P0006,133,4,1
PO00289,2024-04-24,S017,P0059,337,30,0
PO00290,2024-01-01,S012,P0054,161,27,0
PO00291,2025-02-22,S017,P0017,145,17,0
PO00292,2024-03-29,S005,P0026,123,11,0
PO00293,2024-10-02,S016,P0088,90,17,0
PO00294,2025-01-24,S002,P0009,168,34,0
PO00295,2024-09-08,S014,P0002,134,7,0
PO00296,2024-12-01,S020,P0020,154,21,0
PO00297,2025-02-14,S017,P0091,424,5,1
PO00298,2024-12-27,S019,P0006,352,19,0
PO00299,2024-08-22,S003,P0114,281,15,0
PO00300,2024-06-01,S012,P0091,234,26,1
PO00301,2024-07-21,S017,P0119,270,5,0
PO00302,2024-12-19,S019,P0118,385,30,1
PO00303,2024-12-24,S010,P0088,178,6,0
PO00304,2024-12-21,S007,P0079,452,20,0
PO00305,2024-09-07,S010,P0055,157,26,0
PO00306,2024-07-19,S014,P0048,45,5,0
PO00307,2024-05-10,S005,P0058,59,16,0
PO00308,2024-01-02,S002,P0097,384,18,0
PO00309,2024-11-17,S020,P0042,334,14,0
PO00310,2024-04-26,S016,P0074,498,13,0
PO00311,2024-05-18,S012,P0021,248,4,0
PO00312,2024-12-20,S020,P0006,148,3,1
PO00313,2024-01-22,S019,P0030,264,15,0
PO00314,2025-01-24,S013,P0023,458,32,0
PO00315,2024-01-01,S009,P0036,388,28,1
PO00316,2025-01-29,S015,P0110,324,20,0
PO00317,2024-07-09,S017,P0113,365,20,1
PO00318,2024-02-12,S013,P0003,28,15,0
PO00319,2024-10-10,S013,P0090,147,6,0
PO00320,2025-01-11,S016,P0034,66,29,1
PO00321,2024-07-02,S017,P0030,193,3,1
PO00322,2024-10-17,S019,P0082,444,17,0
PO00323,2025-02-15,S012,P0081,304,19,0
PO00324,2024-04-11,S003,P0109,249,8,1
PO00325,2024-12-10,S020,P0115,413,7,1
PO00326,2024-05-03,S014,P0042,209,3,0
PO00327,2024-06-28,S003,P0021,347,24,0
PO00328,2024-04-28,S016,P0118,35,18,0
PO00329,2024-07-06,S014,P0088,197,16,0
PO00330,2024-01-03,S012,P0004,120,26,1
PO00331,2024-05-07,S019,P0049,302,31,0
PO00332,2024-07-06,S003,P0048,163,7,0
PO00333,2024-09-22,S007,P0089,190,5,0
PO00334,2024-09-24,S005,P0051,211,5,0
PO00335,2024-09-02,S004,P0024,110,31,0
PO00336,2024-05-03,S005,P0046,412,29,0
PO00337,2025-02-01,S019,P0116,255,14,1
PO00338,2024-06-13,S013,P0027,475,20,0
PO00339,2024-04-01,S004,P0095,162,11,0
PO00340,2024-08-20,S012,P0111,43,27,0
PO00341,2024-11-10,S010,P0051,362,25,0
PO00342,2024-01-06,S019,P0099,180,19,0
PO00343,2024-04-26,S003,P0116,119,19,0
PO00344,2024-12-12,S014,P0020,41,22,0
PO00345,2024-07-31,S004,P0080,304,30,0
PO00346,2024-06-20,S019,P0095,409,20,0
PO00347,2025-01-25,S016,P0071,285,31,1
PO00348,2024-02-07,S005,P0018,184,5,0
PO00349,2024-09-15,S008,P0008,333,20,0
PO00350,2024-05-23,S017,P0027,105,17,0
PO00351,2024-01-30,S007,P0014,209,3,0
PO00352,2024-03-30,S017,P0018,237,5,0
PO00353,2024-09-20,S005,P0065,451,9,0
PO00354,2024-01-12,S018,P0120,366,12,1
PO00355,2024-09-05,S003,P0031,383,11,0
PO00356,2025-02-05,S013,P0020,191,28,1
PO00357,2024-11-29,S003,P0070,442,11,0
PO00358,2024-05-25,S002,P0045,230,10,0
PO00359,2024-02-28,S004,P0001,360,8,0
PO00360,2024-07-14,S003,P0019,285,3,0
PO00361,2024-06-14,S009,P0039,298,18,0
PO00362,2025-02-12,S017,P0119,412,26,0
PO00363,2025-02-19,S014,P0027,260,26,1
PO00364,2024-06-21,S010,P0056,267,32,0
PO00365,2024-03-03,S001,P0016,244,30,1
PO00366,2025-01-17,S004,P0078,389,27,0
PO00367,2024-11-29,S012,P0098,371,12,0
PO00368,2024-08-02,S016,P0007,94,13,0
PO00369,2024-06-02,S003,P0020,419,14,0
PO00370,2024-07-07,S007,P0031,455,24,0
PO00371,2025-01-13,S001,P0086,237,5,0
PO00372,2024-03-18,S010,P0084,361,8,1
PO00373,2024-12-04,S013,P0079,311,34,0
PO00374,2024-01-08,S001,P0025,250,10,0
PO00375,2025-01-21,S009,P0110,293,25,1
PO00376,2024-07-29,S012,P0001,303,15,0
PO00377,2024-04-05,S001,P0017,273,26,0
PO00378,2024-01-02,S007,P0080,345,21,0
PO00379,2024-08-23,S016,P0101,220,10,0
PO00380,2024-04-12,S003,P0085,54,23,0
PO00381,2024-09-22,S005,P0027,439,25,0
PO00382,2024-04-28,S011,P0120,327,15,0
PO00383,2024-02-06,S008,P0119,424,6,0
PO00384,2024-07-31,S001,P0099,451,5,0
PO00385,2024-08-25,S001,P0024,155,24,0
PO00386,2024-07-09,S008,P0062,36,27,0
PO00387,2024-07-11,S017,P0052,484,22,1
PO00388,2024-09-04,S019,P0051,419,30,1
PO00389,2024-08-09,S012,P0066,40,27,1
PO00390,2024-02-25,S009,P0057,437,5,0
PO00391,2024-03-23,S017,P0110,141,24,0
PO00392,2024-02-29,S003,P0055,173,14,0
PO00393,2024-10-18,S019,P0053,133,7,0
PO00394,2024-08-10,S012,P0089,260,27,0
PO00395,2024-06-29,S016,P0019,338,8,0
PO00396,2024-12-01,S018,P0109,451,20,0
PO00397,2024-05-16,S012,P0013,29,22,0
PO00398,2024-08-26,S002,P0029,204,16,0
PO00399,2024-02-01,S005,P0096,421,7,0
PO00400,2024-11-08,S008,P0006,361,13,0
PO00401,2024-10-18,S002,P0120,420,29,0
PO00402,2024-12-02,S012,P0073,489,11,1
PO00403,2025-01-06,S016,P0116,25,31,0
PO00404,2024-11-14,S008,P0001,32,19,1
PO00405,2024-12-20,S007,P0024,168,14,0
PO00406,2024-05-25,S019,P0074,167,27,0
PO00407,2024-05-24,S020,P0099,299,28,1
PO00408,2025-01-31,S011,P0006,177,3,1
PO00409,2025-01-19,S010,P0048,311,3,0
PO00410,2024-08-18,S005,P0020,154,6,0
PO00411,2024-06-02,S008,P0102,145,31,0
PO00412,2024-12-29,S019,P0076,83,24,0
PO00413,2024-05-15,S018,P0067,241,32,0
PO00414,2024-03-05,S007,P0055,55,20,0
PO00415,2024-09-25,S009,P0018,476,19,0
PO00416,2024-01-18,S005,P0021,476,14,0
PO00417,2024-06-08,S002,P0099,268,22,0
PO00418,2024-12-05,S012,P0064,164,26,0
PO00419,2024-05-03,S001,P0037,425,24,0
PO00420,2025-01-26,S001,P0019,237,14,0
PO00421,2025-02-05,S004,P0089,53,7,0
PO00422,2024-12-08,S007,P0056,494,3,1
PO00423,2025-02-18,S001,P0062,188,21,0
PO00424,2024-08-10,S013,P0018,128,32,0
PO00425,2024-08-27,S002,P0104,488,9,0
PO00426,2024-12-17,S015,P0030,87,17,0
PO00427,2024-07-25,S017,P0056,39,16,1
PO00428,2024-06-19,S003,P0106,310,28,0
PO00429,2024-09-15,S017,P0115,203,5,1
PO00430,2024-10-03,S012,P0042,35,7,1
PO00431,2024-11-11,S017,P0053,465,33,0
PO00432,2024-10-07,S014,P0098,37,8,1
PO00433,2024-11-09,S008,P0074,239,27,0
PO00434,2024-10-10,S020,P0086,335,13,0
PO00435,2024-07-20,S013,P0050,250,21,0
PO00436,2024-02-26,S017,P0004,87,33,0
PO00437,2024-11-25,S003,P0063,279,24,1
PO00438,2024-01-13,S012,P0067,492,29,0
PO00439,2025-02-20,S018,P0113,154,4,0
PO00440,2024-12-13,S004,P0120,480,27,0
PO00441,2024-10-08,S009,P0056,490,14,0
PO00442,2025-02-09,S004,P0049,464,27,0
PO00443,2024-09-14,S007,P0092,287,25,0
PO00444,2024-01-24,S010,P0022,195,16,0
PO00445,2024-08-22,S001,P0012,439,29,1
PO00446,2024-04-26,S014,P0049,469,11,0
PO00447,2024-06-04,S001,P0013,430,22,0
PO00448,2024-07-12,S010,P0105,214,18,0
PO00449,2024-11-21,S016,P0033,308,28,0
PO00450,2024-07-30,S014,P0047,49,19,0
PO00451,2024-07-18,S013,P0064,473,19,0
PO00452,2024-05-06,S004,P0083,184,4,0
PO00453,2024-08-14,S008,P0105,241,12,0
PO00454,2024-04-14,S009,P0017,200,32,0
PO00455,2024-04-19,S014,P0111,360,13,1
PO00456,2024-11-14,S010,P0034,245,5,1
PO00457,2024-05-23,S017,P0068,304,32,0
PO00458,2024-01-22,S013,P0039,105,4,0
PO00459,2024-05-24,S018,P0072,149,6,0
PO00460,2024-09-25,S017,P0097,194,10,0
PO00461,2024-12-07,S001,P0001,94,21,1
PO00462,2025-02-08,S008,P0005,102,22,0
PO00463,2024-11-09,S012,P0096,114,20,0
PO00464,2024-06-29,S012,P0040,404,3,1
PO00465,2024-05-05,S007,P0063,372,32,0
PO00466,2024-02-24,S007,P0001,135,26,1
PO00467,2024-09-20,S005,P0035,188,25,0
PO00468,2024-08-02,S018,P0086,439,28,1
PO00469,2024-10-11,S020,P0093,152,4,1
PO00470,2024-04-09,S004,P0017,179,10,0
PO00471,2024-05-15,S011,P0094,218,31,0
PO00472,2024-05-02,S005,P0099,491,12,1
PO00473,2024-12-01,S013,P0060,197,21,1
PO00474,2024-03-12,S019,P0001,324,9,0
PO00475,2024-09-12,S010,P0004,337,19,0
PO00476,2024-01-22,S007,P0009,45,30,1
PO00477,2024-08-18,S001,P0045,335,31,0
PO00478,2024-01-27,S015,P0032,133,33,0
PO00479,2024-03-14,S014,P0069,423,32,1
PO00480,2024-02-17,S017,P0014,442,5,0
PO00481,2024-05-25,S004,P0051,384,27,1
PO00482,2024-05-24,S003,P0090,411,17,0
PO00483,2024-12-13,S016,P0023,153,6,1
PO00484,2024-04-04,S018,P0046,304,19,0
PO00485,2024-02-06,S018,P0086,451,13,1
PO00486,2024-09-10,S012,P0027,51,32,0
PO00487,2024-10-15,S002,P0089,417,8,0
PO00488,2024-05-03,S005,P0036,368,19,0
PO00489,2024-09-10,S012,P0068,425,12,0
PO00490,2024-11-21,S012,P0032,116,3,0
PO00491,2024-05-25,S001,P0073,319,20,1
PO00492,2024-08-08,S017,P0066,79,33,0
PO00493,2024-03-02,S003,P0042,220,16,1
PO00494,2024-01-10,S009,P0050,405,21,0
PO00495,2025-02-16,S016,P0057,245,31,0
PO00496,2024-05-05,S020,P0103,325,20,0
PO00497,2024-04-27,S017,P0117,180,26,0
PO00498,2025-02-12,S016,P0064,464,34,0
PO00499,2024-11-01,S018,P0046,125,34,0
PO00500,2024-09-02,S003,P0117,437,24,0
PO00501,2024-10-20,S010,P0089,260,33,0
PO00502,2024-10-25,S016,P0111,309,3,0
PO00503,2024-11-16,S016,P0074,93,24,0
PO00504,2024-01-29,S010,P0101,291,3,0
PO00505,2024-06-22,S009,P0089,410,11,0
PO00506,2024-05-03,S017,P0104,476,16,0
PO00507,2024-01-30,S011,P0054,162,5,0
PO00508,2024-06-22,S016,P0053,272,14,0
PO00509,2024-09-15,S017,P0029,127,19,0
PO00510,2024-03-15,S016,P0037,132,19,0
PO00511,2024-05-08,S017,P0069,224,4,0
PO00512,2024-09-25,S009,P0014,399,31,0
PO00513,2024-08-31,S020,P0097,239,8,0
PO00514,2024-12-30,S015,P0027,179,3,0
PO00515,2024-11-28,S019,P0005,111,25,0
PO00516,2025-02-09,S012,P0115,392,29,1
PO00517,2024-09-07,S004,P0118,443,14,0
PO00518,2024-10-20,S003,P0044,233,6,0
PO00519,2024-12-27,S016,P0015,202,25,0
PO00520,2024-12-18,S016,P0067,98,18,0
PO00521,2024-10-28,S002,P0001,282,22,1
PO00522,2024-07-29,S009,P0024,297,34,0
PO00523,2024-04-24,S016,P0076,375,13,0
PO00524,2025-01-03,S016,P0109,360,22,0
PO00525,2024-11-22,S012,P0062,48,32,1
PO00526,2024-12-17,S005,P0078,337,22,0
PO00527,2024-02-29,S016,P0057,95,28,0
PO00528,2024-05-12,S004,P0106,107,30,0
PO00529,2024-06-27,S019,P0020,424,12,1
PO00530,2024-12-18,S018,P0058,377,10,1
PO00531,2025-01-10,S010,P0014,316,4,0
PO00532,2024-04-29,S003,P0078,325,10,0
PO00533,2024-10-15,S004,P0109,34,28,0
PO00534,2024-02-02,S003,P0053,343,29,1
PO00535,2024-06-21,S001,P0035,67,3,0
PO00536,2024-07-23,S019,P0062,75,31,0
PO00537,2024-11-17,S011,P0061,231,25,0
PO00538,2025-01-09,S011,P0120,131,9,0
PO00539,2024-05-21,S012,P0019,283,24,0
PO00540,2024-08-09,S015,P0084,218,16,0
PO00541,2024-09-28,S017,P0042,259,6,0
PO00542,2024-05-18,S002,P0044,187,34,0
PO00543,2025-02-17,S005,P0087,499,23,0
PO00544,2025-01-02,S018,P0098,93,19,1
PO00545,2024-05-04,S012,P0001,359,4,0
PO00546,2024-08-01,S011,P0068,316,28,0
PO00547,2024-04-06,S002,P0104,329,25,0
PO00548,2024-08-04,S001,P0081,281,4,0
PO00549,2024-10-13,S002,P0090,484,10,1
PO00550,2024-02-05,S007,P0078,450,9,0
PO00551,2024-12-31,S017,P0046,449,28,0
PO00552,2024-09-06,S020,P0051,353,10,0
PO00553,2025-02-19,S016,P0032,209,22,1
PO00554,2024-01-11,S012,P0100,279,19,0
PO00555,2024-12-15,S005,P0084,140,25,0
PO00556,2024-11-28,S017,P0080,428,19,0
PO00557,2024-02-25,S012,P0115,38,33,1
