order_id,order_date,product_id,customer_id,quantity,discount_rate,unit_price,revenue,cogs,gross_margin
O000148,2024-09-26,P0029,C0030,9,0.132,223.44,2010.96,520.56,1490.4
O000149,2024-10-18,P0111,C0057,11,0.112,20.18,221.98,1791.57,-1569.59
O000150,2024-08-15,P0037,C0052,10,0.087,193.44,1934.4,1615.2,319.2
O000151,2024-04-15,P0087,C0018,11,0.032,99.12,1090.32,165.11,925.21
O000152,2024-05-25,P0013,C0060,10,0.145,198.54,1985.4,1406.1,579.3
O000153,2024-03-17,P0032,C0024,10,0.049,157.12,1571.2,1470.0,101.2
O000154,2025-01-16,P0046,C0052,12,0.148,263.98,3167.76,1872.6,1295.16
O000155,2024-09-02,P0116,C0009,11,0.11,60.39,664.29,1785.3,-1121.01
O000156,2024-06-17,P0111,C0031,8,0.067,21.21,169.68,1302.96,-1133.28
O000157,2024-07-13,P0112,C0015,10,0.007,306.45,3064.5,1168.9,1895.6
O000158,2025-02-01,P0023,C0004,10,0.042,91.86,918.6,1641.0,-722.4
O000159,2024-03-05,P0045,C0040,3,0.16,122.3,366.9,446.1,-79.2
O000160,2024-09-03,P0017,C0009,12,0.147,181.81,2181.72,148.44,2033.28
O000161,2024-07-31,P0119,C0045,10,0.103,163.71,1637.1,1184.3,452.8
O000162,2024-09-13,P0104,C0009,6,0.084,286.37,1718.22,729.12,989.1
O000163,2024-01-08,P0085,C0026,3,0.116,138.8,416.4,189.51,226.89
O000164,2025-01-01,P0066,C0004,7,0.084,210.0,1470.0,661.22,808.78
O000165,2025-01-26,P0101,C0017,7,0.116,159.02,1113.14,1169.35,-56.21
O000166,2024-08-25,P0006,C0016,7,0.055,205.41,1437.87,823.62,614.25
O000167,2024-10-19,P0108,C0015,9,0.151,82.86,745.74,446.4,299.34
O000168,2025-01-22,P0018,C0035,8,0.126,239.48,1915.84,212.48,1703.36
O000169,2024-10-24,P0094,C0057,8,0.059,164.0,1312.0,303.92,1008.08
O000170,2024-03-05,P0022,C0052,7,0.15,108.08,756.56,668.29,88.27
O000171,2024-08-30,P0118,C0005,9,0.088,83.28,749.52,1279.26,-529.74
O000172,2024-09-11,P0033,C0055,10,0.031,72.24,722.4,1169.5,-447.1
O000173,2024-06-27,P0030,C0005,9,0.014,165.94,1493.46,321.57,1171.89
O000174,2024-11-05,P0081,C0020,8,0.126,113.23,905.84,935.76,-29.92
O000175,2025-01-27,P0107,C0015,13,0.156,217.36,2825.68,1288.3,1537.38
O000176,2025-01-23,P0032,C0018,9,0.145,141.26,1271.34,1323.0,-51.66
O000177,2024-07-08,P0042,C0047,7,0.118,112.81,789.67,188.51,601.16
O000178,2024-02-17,P0115,C0002,10,0.025,136.24,1362.4,1328.6,33.8
O000179,2025-02-17,P0078,C0029,8,0.017,253.34,2026.72,1066.0,960.72
O000180,2024-12-18,P0010,C0013,9,0.062,212.02,1908.18,1176.12,732.06
O000181,2024-02-22,P0111,C0004,10,0.154,19.23,192.3,1628.7,-1436.4
O000182,2025-01-21,P0115,C0042,8,0.173,115.56,924.48,1062.88,-138.4
O000183,2024-12-31,P0036,C0045,8,0.043,21.46,171.68,320.72,-149.04
O000184,2024-08-05,P0034,C0010,7,0.137,203.11,1421.77,1105.23,316.54
O000185,2024-09-05,P0073,C0031,8,0.103,153.35,1226.8,1420.24,-193.44
O000186,2024-06-16,P0106,C0041,11,0.006,112.82,1241.02,1138.39,102.63
O000187,2024-01-23,P0028,C0008,11,0.098,187.16,2058.76,233.64,1825.12
O000188,2024-05-20,P0011,C0003,8,0.145,182.84,1462.72,1110.88,351.84
O000189,2024-12-03,P0078,C0048,11,0.05,244.83,2693.13,1465.75,1227.38
O000190,2024-01-02,P0039,C0046,7,0.162,252.94,1770.58,1028.16,742.42
O000191,2024-05-20,P0119,C0009,9,0.043,174.66,1571.94,1065.87,506.07
O000192,2024-06-16,P0047,C0030,8,0.014,304.58,2436.64,73.6,2363.04
O000193,2024-08-13,P0118,C0053,8,0.029,88.67,709.36,1137.12,-427.76
O000194,2025-01-21,P0019,C0011,9,0.151,183.02,1647.18,120.69,1526.49
O000195,2024-05-25,P0118,C0035,10,0.075,84.47,844.7,1421.4,-576.7
O000196,2024-05-25,P0015,C0037,10,0.143,97.91,979.1,979.1,0.0
O000197,2024-11-05,P0028,C0042,11,0.096,187.58,2063.38,233.64,1829.74
O000198,2024-07-08,P0024,C0013,8,0.087,81.64,653.12,407.04,246.08
O000199,2024-04-04,P0072,C0036,5,0.145,250.98,1254.9,460.95,793.95
O000200,2024-07-09,P0107,C0056,7,0.076,237.96,1665.72,693.7,972.02
O000201,2024-02-29,P0009,C0013,8,0.144,156.1,1248.8,228.56,1020.24
O000202,2024-03-15,P0047,C0012,7,0.018,303.34,2123.38,64.4,2058.98
O000203,2024-07-28,P0033,C0037,11,0.115,65.98,725.78,1286.45,-560.67
O000204,2024-06-24,P0062,C0010,8,0.126,151.28,1210.24,478.0,732.24
O000205,2025-01-19,P0097,C0060,16,0.162,171.77,2748.32,2705.92,42.4
O000206,2024-06-01,P0019,C0056,6,0.04,206.95,1241.7,80.46,1161.24
O000207,2024-08-31,P0067,C0009,6,0.109,111.05,666.3,101.1,565.2
O000208,2024-09-22,P0074,C0052,7,0.078,154.86,1084.02,347.41,736.61
O000209,2024-01-06,P0040,C0007,9,0.069,284.84,2563.56,1459.17,1104.39
O000210,2024-10-05,P0047,C0002,14,0.019,303.03,4242.42,128.8,4113.62
O000211,2024-03-15,P0106,C0054,9,0.024,110.78,997.02,931.41,65.61
O000212,2025-02-07,P0065,C0056,7,0.151,193.22,1352.54,789.95,562.59
O000213,2024-03-03,P0029,C0060,14,0.135,222.67,3117.38,809.76,2307.62
O000214,2024-06-23,P0050,C0023,6,0.069,123.31,739.86,277.2,462.66
O000215,2024-02-05,P0098,C0039,8,0.149,34.92,279.36,253.2,26.16
O000216,2025-02-22,P0115,C0040,7,0.015,137.63,963.41,930.02,33.39
O000217,2024-07-29,P0013,C0039,7,0.112,206.2,1443.4,984.27,459.13
O000218,2024-09-07,P0118,C0021,8,0.156,77.07,616.56,1137.12,-520.56
O000219,2024-01-29,P0001,C0023,9,0.151,54.59,491.31,584.19,-92.88
O000220,2024-11-10,P0034,C0029,7,0.067,219.58,1537.06,1105.23,431.83
O000221,2024-03-29,P0093,C0014,10,0.134,46.55,465.5,1189.7,-724.2
O000222,2025-01-12,P0048,C0026,8,0.077,253.98,2031.84,766.8,1265.04
O000223,2024-03-27,P0111,C0051,7,0.151,19.3,135.1,1140.09,-1004.99
O000224,2024-03-21,P0077,C0005,7,0.096,207.11,1449.77,342.09,1107.68
O000225,2024-01-16,P0048,C0055,7,0.138,237.2,1660.4,670.95,989.45
O000226,2024-07-17,P0049,C0031,6,0.014,103.34,620.04,478.74,141.3
O000227,2024-08-25,P0117,C0025,8,0.106,56.06,448.48,1284.64,-836.16
O000228,2024-01-28,P0064,C0031,5,0.099,217.08,1085.4,71.7,1013.7
O000229,2024-11-21,P0061,C0050,13,0.11,51.38,667.94,1215.89,-547.95
O000230,2024-07-09,P0029,C0020,7,0.125,225.24,1576.68,404.88,1171.8
O000231,2024-08-08,P0039,C0044,11,0.165,252.04,2772.44,1615.68,1156.76
O000232,2024-07-04,P0088,C0055,5,0.141,167.68,838.4,548.15,290.25
O000233,2024-06-17,P0026,C0017,9,0.04,129.49,1165.41,1241.55,-76.14
O000234,2024-08-23,P0017,C0045,3,0.149,181.38,544.14,37.11,507.03
O000235,2024-03-06,P0071,C0002,7,0.022,273.31,1913.17,230.44,1682.73
O000236,2024-03-17,P0013,C0025,10,0.112,206.2,2062.0,1406.1,655.9
O000237,2024-12-27,P0069,C0013,7,0.159,220.22,1541.54,1149.54,392.0
O000238,2025-02-01,P0026,C0058,11,0.018,132.46,1457.06,1517.45,-60.39
O000239,2024-06-05,P0049,C0039,7,0.153,88.77,621.39,558.53,62.86
O000240,2024-04-23,P0067,C0028,9,0.144,106.69,960.21,151.65,808.56
O000241,2024-09-27,P0007,C0042,4,0.091,15.03,60.12,642.4,-582.28
O000242,2024-06-20,P0058,C0055,6,0.056,42.14,252.84,1050.9,-798.06
O000243,2024-01-11,P0049,C0006,12,0.073,97.16,1165.92,957.48,208.44
O000244,2024-03-06,P0103,C0003,10,0.174,195.32,1953.2,523.7,1429.5
O000245,2024-10-27,P0053,C0058,8,0.036,64.3,514.4,1361.44,-847.04
O000246,2024-10-03,P0065,C0035,9,0.104,203.92,1835.28,1015.65,819.63
O000247,2024-01-12,P0113,C0018,5,0.015,265.92,1329.6,331.55,998.05
O000248,2024-04-03,P0062,C0011,13,0.039,166.34,2162.42,776.75,1385.67
O000249,2024-04-07,P0017,C0054,12,0.137,183.94,2207.28,148.44,2058.84
O000250,2024-10-09,P0043,C0020,7,0.054,18.65,130.55,330.4,-199.85
O000251,2024-01-09,P0025,C0005,10,0.177,256.59,2565.9,785.9,1780.0
O000252,2024-02-13,P0003,C0019,15,0.09,181.96,2729.4,922.35,1807.05
O000253,2024-12-01,P0079,C0022,9,0.093,259.81,2338.29,641.34,1696.95
O000254,2024-03-15,P0029,C0059,9,0.007,255.62,2300.58,520.56,1780.02
O000255,2024-10-01,P0117,C0060,7,0.172,51.92,363.44,1124.06,-760.62
O000256,2024-04-10,P0107,C0019,9,0.031,249.55,2245.95,891.9,1354.05
O000257,2024-02-11,P0032,C0047,7,0.097,149.19,1044.33,1029.0,15.33
O000258,2024-04-12,P0026,C0016,12,0.071,125.31,1503.72,1655.4,-151.68
O000259,2024-10-30,P0016,C0024,6,0.075,224.48,1346.88,489.24,857.64
O000260,2024-12-25,P0025,C0041,13,0.116,275.6,3582.8,1021.67,2561.13
O000261,2024-12-14,P0054,C0004,10,0.119,162.83,1628.3,635.9,992.4
O000262,2024-06-15,P0028,C0015,12,0.028,201.69,2420.28,254.88,2165.4
O000263,2024-10-07,P0073,C0025,7,0.09,155.57,1088.99,1242.71,-153.72
O000264,2024-03-27,P0120,C0044,10,0.142,199.87,1998.7,224.7,1774.0
O000265,2024-05-03,P0056,C0055,10,0.08,209.11,2091.1,1289.2,801.9
O000266,2025-01-11,P0065,C0035,10,0.03,220.76,2207.6,1128.5,1079.1
O000267,2024-01-06,P0093,C0055,10,0.056,50.74,507.4,1189.7,-682.3
O000268,2024-02-05,P0086,C0014,-1,0.038,173.65,1389.2,320.64,1068.56
O000269,2024-03-28,P0080,C0049,6,0.023,115.37,692.22,700.56,-8.34
O000270,2024-01-12,P0041,C0019,3,0.068,274.04,822.12,188.1,634.02
O000271,2024-03-17,P0115,C0038,10,0.097,126.18,1261.8,1328.6,-66.8
O000272,2024-09-01,P0108,C0036,7,0.013,96.33,674.31,347.2,327.11
O000273,2024-06-25,P0051,C0007,8,0.109,244.67,1957.36,228.96,1728.4
O000274,2025-01-09,P0118,C0030,5,0.179,74.97,374.85,710.7,-335.85
O000275,2024-12-09,P0105,C0019,10,0.174,142.46,1424.6,1485.6,-61.0
O000276,2024-05-23,P0071,C0049,9,0.149,237.82,2140.38,296.28,1844.1
O000277,2024-04-18,P0078,C0025,11,0.048,245.35,2698.85,1465.75,1233.1
O000278,2024-06-08,P0029,C0016,10,0.004,256.39,2563.9,578.4,1985.5
O000279,2024-09-04,P0083,C0047,10,0.15,162.67,1626.7,235.3,1391.4
O000280,2024-04-22,P0019,C0054,3,0.01,213.41,640.23,40.23,600.0
O000281,2024-09-19,P0066,C0040,7,0.037,220.78,1545.46,661.22,884.24
O000282,2024-06-20,P0041,C0051,8,0.098,265.22,2121.76,501.6,1620.16
O000283,2024-08-19,P0045,C0008,8,0.032,140.94,1127.52,1189.6,-62.08
O000284,2024-07-02,P0015,C0018,10,0.15,97.11,971.1,979.1,-8.0
O000285,2024-05-03,P0003,,7,0.14,171.97,1203.79,430.43,773.36
O000286,2025-02-02,P0011,C0016,7,0.136,184.77,1293.39,972.02,321.37
O000287,2024-11-16,P0053,C0052,11,0.147,56.9,625.9,1871.98,-1246.08
O000288,2024-02-28,P0046,C0019,11,0.04,297.44,3271.84,1716.55,1555.29
O000289,2024-12-30,P0030,C0042,13,0.131,146.25,1901.25,464.49,1436.76
O000290,2024-07-23,P0057,C0017,9,0.064,176.78,1591.02,634.86,956.16
O000291,2025-01-10,P0104,C0045,6,0.12,275.11,1650.66,729.12,921.54
O000292,2024-12-01,P0018,C0013,-1,0.022,267.98,2411.82,239.04,2172.78
O000293,2024-06-27,P0051,C0007,9,0.127,239.73,2157.57,257.58,1899.99
O000294,2024-01-10,P0048,C0027,9,0.175,227.02,2043.18,862.65,1180.53
O000295,2024-04-22,P0066,C0010,15,0.008,227.43,3411.45,1416.9,1994.55
O000296,2024-08-15,P0096,C0034,3,0.017,79.46,238.38,223.56,14.82
O000297,2024-09-23,P0008,C0036,8,0.022,62.64,501.12,713.76,-212.64
O000298,2024-04-18,P0022,C0025,8,0.078,117.23,937.84,763.76,174.08
O000299,2024-02-28,P0006,C0006,6,0.052,206.07,1236.42,705.96,530.46
O000300,2024-12-16,P0076,C0024,8,0.145,182.32,1458.56,1112.0,346.56
O000301,2025-02-17,P0111,C0018,9,0.085,20.8,187.2,1465.83,-1278.63
O000302,2024-08-08,P0057,C0023,9,0.087,172.44,1551.96,634.86,917.1
O000303,2024-03-13,P0104,C0006,13,0.129,272.3,3539.9,1579.76,1960.14
O000304,2024-04-24,P0036,C0029,5,0.065,20.96,104.8,200.45,-95.65
O000305,2024-01-08,P0079,C0025,7,0.064,268.12,1876.84,498.82,1378.02
O000306,2025-01-19,P0092,C0055,9,0.136,107.88,970.92,422.64,548.28
O000307,2024-02-19,P0116,C0017,10,0.14,58.35,583.5,1623.0,-1039.5
O000308,2024-08-30,P0057,C0046,7,0.003,188.3,1318.1,493.78,824.32
O000309,2024-04-25,P0049,C0024,12,0.026,102.08,1224.96,957.48,267.48
O000310,2024-08-20,P0045,C0011,7,0.038,140.07,980.49,1040.9,-60.41
O000311,2024-09-30,P0082,C0026,10,0.063,40.91,409.1,1001.5,-592.4
O000312,2024-12-14,P0066,C0051,13,0.052,217.34,2825.42,1227.98,1597.44
O000313,2024-03-27,P0077,C0034,8,0.12,201.61,1612.88,390.96,1221.92
O000314,2024-01-05,P0045,C0028,15,0.149,123.91,1858.65,2230.5,-371.85
O000315,2024-02-27,P0118,C0003,7,0.035,88.12,616.84,994.98,-378.14
O000316,2025-01-13,P0079,C0011,10,0.101,257.52,2575.2,712.6,1862.6
O000317,2025-01-02,P0020,C0038,9,0.066,175.9,1583.1,1057.14,525.96
O000318,2024-09-07,P0064,C0014,11,0.091,219.01,2409.11,157.74,2251.37
O000319,2024-09-09,P0093,C0051,10,0.112,47.73,477.3,1189.7,-712.4
O000320,2024-10-06,P0106,C0026,6,0.161,95.23,571.38,620.94,-49.56
O000321,2024-03-14,P0093,C0048,8,0.035,51.87,414.96,951.76,-536.8
O000322,2025-01-19,P0067,C0021,11,0.016,122.65,1349.15,185.35,1163.8
O000323,2024-06-24,P0083,C0054,7,0.113,169.75,1188.25,164.71,1023.54
O000324,2024-06-09,P0003,C0056,8,0.071,185.76,1486.08,491.92,994.16
O000325,2024-08-05,P0054,C0039,9,0.029,179.46,1615.14,572.31,1042.83
O000326,2024-01-20,P0078,C0030,7,0.021,252.31,1766.17,932.75,833.42
