product_id,category,standard_cost,list_price,supplier_id,active_flag,margin_rate
P0058,Fasteners,175.15,44.64,S013,Y,-2.924
P0059,Fasteners,173.54,202.58,S012,Y,0.143
P0060,Fasteners,51.31,316.97,S014,Y,0.838
P0061,Fasteners,93.53,57.73,S002,Y,-0.62
P0062,Electrical,59.75,173.09,S019,Y,0.655
P0063,Safety,56.99,282.6,S018,Y,0.798
P0064,Maintenance,14.34,240.93,S003,Y,0.94
P0065,Industrial Supplies,112.85,227.59,S017,Y,0.504
P0066,Fasteners,94.46,229.26,S008,Y,0.588
P0067,Tools,16.85,124.64,S010,N,0.865
P0068,Fasteners,55.93,104.55,S002,Y,0.465
P0069,Tools,164.22,261.86,S019,Y,0.373
P0070,Maintenance,49.2,262.08,S009,Y,0.812
P0071,Maintenance,32.92,279.46,S007,Y,0.882
P0072,Maintenance,92.19,293.54,S004,Y,0.686
P0073,Tools,177.53,170.96,S018,Y,-0.038
P0074,Fasteners,49.63,167.96,S013,Y,0.705
P0075,Maintenance,123.61,258.48,S011,Y,0.522
P0076,Electrical,139.0,213.24,S004,Y,0.348
P0077,Tools,48.87,229.1,S004,N,0.787
P0078,Tools,133.25,257.72,S010,N,0.483
P0079,Fasteners,71.26,286.45,S005,Y,0.751
P0080,Tools,116.76,118.09,S009,Y,0.011
P0081,Tools,116.97,129.55,S003,Y,0.097
P0082,Maintenance,100.15,43.66,S017,Y,-1.294
P0083,Fasteners,23.53,191.38,S003,Y,0.877
P0084,Maintenance,151.67,25.96,S016,Y,-4.842
P0085,Maintenance,63.17,157.01,S004,Y,0.598
P0086,Fasteners,40.08,180.51,S018,Y,0.778
P0087,,15.01,102.4,S017,N,0.853
P0088,Maintenance,109.63,195.2,S007,Y,0.438
P0089,Electrical,124.54,24.3,S005,Y,-4.125
P0090,Electrical,10.85,26.39,S012,Y,0.589
P0091,Tools,96.08,265.89,S017,N,0.639
P0092,Electrical,46.96,124.86,S013,Y,0.624
P0093,Tools,118.97,53.75,S003,Y,-1.213
P0094,Industrial Supplies,37.99,174.28,S009,Y,0.782
P0095,Fasteners,126.84,249.85,S017,Y,0.492
P0096,,74.52,80.83,S017,Y,0.078
P0097,Fasteners,169.12,204.98,S020,N,0.175
P0098,Electrical,31.65,41.03,S016,Y,0.229
P0099,Industrial Supplies,66.66,30.76,S013,Y,-1.167
P0100,,27.52,177.06,S019,Y,0.845
P0101,Electrical,167.05,179.89,S017,N,0.071
P0102,Industrial Supplies,158.9,209.42,S004,Y,0.241
P0103,Industrial Supplies,52.37,236.46,S012,Y,0.779
P0104,Industrial Supplies,121.52,312.63,S009,Y,0.611
P0105,Industrial Supplies,148.56,172.47,S019,Y,0.139
P0106,Fasteners,103.49,113.5,S012,Y,0.088
P0107,Safety,99.1,257.53,S009,Y,0.615
P0108,,49.6,97.6,S007,Y,0.492
P0109,Industrial Supplies,24.01,148.89,S014,Y,0.839
P0110,Safety,162.32,38.93,S020,N,-3.17
P0111,Safety,162.87,22.73,S019,N,-6.165
P0112,Industrial Supplies,116.89,308.61,S015,Y,0.621
P0113,Safety,66.31,269.97,S016,Y,0.754
P0114,Electrical,68.06,227.27,S005,N,0.701
P0115,Tools,132.86,139.73,S003,Y,0.049
P0116,,162.3,67.85,S012,Y,-1.392
P0117,Industrial Supplies,160.58,62.71,S020,Y,-1.561
P0118,Fasteners,142.14,91.32,S004,Y,-0.557
P0119,Industrial Supplies,118.43,182.51,S016,N,0.351
P0120,Fasteners,22.47,232.95,S007,Y,0.904
