snapshot_date,product_id,on_hand_qty,reorder_point,warehouse,stockout_risk
2024-11-29,P0047,57,72,WH-C,1
2024-09-16,P0106,65,62,WH-C,0
2024-01-27,P0025,62,25,WH-A,0
2024-12-18,P0107,51,27,WH-C,0
2024-03-19,P0050,59,59,WH-A,0
2025-02-15,P0093,58,44,WH-C,0
2024-06-07,P0045,68,61,WH-A,0
2024-09-15,P0116,67,62,WH-A,0
2024-02-02,P0120,73,70,WH-C,0
2024-05-24,P0030,74,44,WH-C,0
2024-12-02,P0048,65,65,WH-C,0
2024-07-19,P0051,56,30,WH-B,0
2025-01-14,P0094,61,54,WH-B,0
2024-08-29,P0055,49,20,WH-C,0
2025-01-25,P0108,68,79,WH-C,1
2025-02-16,P0055,57,78,WH-C,1
2024-07-09,P0046,53,72,WH-C,1
2024-08-25,P0031,52,42,WH-A,0
2024-12-16,P0034,55,22,WH-B,0
2024-04-03,P0092,54,60,WH-C,1
2024-12-27,P0074,61,20,WH-B,0
2024-09-05,P0068,68,73,WH-B,1
2024-10-31,P0033,79,63,WH-A,0
2024-02-03,P0056,72,31,WH-C,0
2024-11-17,P0058,70,57,WH-B,0
2024-05-10,P0057,60,59,WH-A,0
2024-12-04,P0017,67,50,WH-C,0
2024-08-01,P0011,63,48,WH-C,0
2024-04-25,P0071,64,54,WH-B,0
2025-02-04,P0081,58,47,WH-A,0
2024-11-17,P0092,76,40,WH-A,0
2025-02-17,P0017,61,30,WH-A,0
2024-06-02,P0105,56,45,WH-A,0
2024-09-29,P0010,85,30,WH-C,0
2024-09-13,P0026,80,24,WH-B,0
2024-10-15,P0006,68,75,WH-B,1
2024-01-17,P0081,60,26,WH-A,0
2024-05-02,P0016,67,70,WH-A,1
2025-01-16,P0103,70,50,WH-A,0
2024-06-27,P0115,73,58,WH-B,0
2025-02-07,P0090,60,61,WH-C,1
2024-03-30,P0004,66,27,WH-C,0
2025-02-22,P0062,66,72,WH-A,1
2024-10-19,P0084,58,46,WH-C,0
2024-11-22,P0120,57,40,WH-C,0
2024-06-15,P0064,60,49,WH-B,0
2025-01-15,P0113,61,33,WH-A,0
2024-08-17,P0056,55,78,WH-C,1
2024-10-12,P0105,58,20,WH-A,0
2024-02-09,P0075,61,64,WH-A,1
2024-09-22,P0023,66,43,WH-C,0
2025-01-04,P0033,66,25,WH-B,0
2024-03-15,P0031,58,25,WH-C,0
2024-11-05,P0007,74,72,WH-B,0
2024-01-11,P0086,78,24,WH-C,0
2025-01-24,P0005,71,54,WH-A,0
2025-02-16,P0037,70,63,WH-B,0
2024-05-28,P0001,53,34,WH-B,0
2024-02-14,P0070,56,54,WH-A,0
2024-10-03,P0045,66,67,WH-C,1
2024-01-13,P0047,47,69,WH-B,1
2024-07-21,P0068,76,60,WH-C,0
2024-04-24,P0094,67,27,WH-C,0
2024-07-17,P0030,65,62,WH-C,0
2024-01-08,P0081,62,54,WH-A,0
2024-01-22,P0060,72,24,WH-C,0
2024-01-07,P0120,42,50,WH-A,1
2024-09-17,P0024,62,61,WH-B,0
2024-08-23,P0031,67,50,WH-C,0
2024-04-07,P0028,73,56,WH-B,0
2024-09-28,P0045,76,27,WH-C,0
2025-01-06,P0107,65,25,WH-B,0
2024-04-26,P0004,70,42,WH-A,0
2024-12-15,P0061,70,72,WH-B,1
2024-10-05,P0039,68,35,WH-B,0
2024-01-15,P0083,74,63,WH-C,0
2024-06-06,P0024,44,68,WH-C,1
2024-08-01,P0071,57,27,WH-C,0
2024-11-03,P0046,50,23,WH-C,0
2024-04-30,P0053,53,51,WH-A,0
2025-02-16,P0048,76,72,WH-B,0
2024-10-14,P0117,50,68,WH-B,1
2024-06-05,P0009,66,22,WH-A,0
2024-02-10,P0022,60,69,WH-B,1
2024-03-17,P0118,66,35,WH-C,0
2024-07-23,P0002,80,79,WH-C,0
2024-07-26,P0091,58,53,WH-C,0
2024-11-18,P0016,68,32,WH-B,0
2024-10-31,P0005,57,52,WH-A,0
2024-03-25,P0012,60,41,WH-A,0
2024-09-06,P0052,56,50,WH-B,0
2024-01-09,P0026,60,43,WH-A,0
2024-06-16,P0015,69,22,WH-A,0
2024-11-16,P0067,69,52,WH-C,0
2024-06-16,P0073,87,49,WH-B,0
2024-12-16,P0059,61,45,WH-A,0
2025-02-13,P0092,57,53,WH-B,0
2024-09-12,P0039,67,70,WH-C,1
2024-03-01,P0063,66,41,WH-C,0
2024-06-08,P0100,53,49,WH-A,0
2024-01-04,P0025,59,54,WH-B,0
2024-09-10,P0041,51,44,WH-B,0
2024-12-11,P0028,69,47,WH-C,0
2024-09-21,P0111,79,52,WH-C,0
2024-11-26,P0119,62,42,WH-C,0
2024-12-01,P0021,63,45,WH-A,0
2024-12-23,P0093,73,75,WH-B,1
2024-04-21,P0089,63,28,WH-A,0
2024-12-31,P0094,43,27,WH-B,0
2024-10-01,P0061,59,56,WH-C,0
2024-05-01,P0103,81,52,WH-A,0
2025-02-18,P0057,66,34,WH-A,0
2025-02-03,P0011,61,68,WH-A,1
2024-08-29,P0019,66,66,WH-C,0
2024-12-20,P0075,58,27,WH-A,0
2024-04-19,P0089,60,74,WH-A,1
2024-06-23,P0001,66,40,WH-C,0
2024-03-18,P0032,59,77,WH-B,1
2024-08-06,P0085,76,22,WH-A,0
2024-07-27,P0109,74,28,WH-C,0
2024-03-30,P0077,72,71,WH-A,0
2024-10-09,P0034,69,33,WH-A,0
2024-02-19,P0017,65,57,WH-B,0
2024-01-26,P0115,59,46,WH-C,0
2024-06-10,P0055,73,39,WH-B,0
2024-06-21,P0111,89,76,WH-B,0
2024-05-14,P0019,70,23,WH-C,0
2024-04-18,P0074,68,43,WH-B,0
2024-05-22,P0042,63,46,WH-A,0
2024-03-09,P0059,68,31,WH-C,0
2024-06-18,P0073,55,47,WH-C,0
2025-01-14,P0115,61,54,WH-A,0
2024-04-04,P0075,68,43,WH-A,0
2024-10-14,P0038,77,50,WH-A,0
2024-02-29,P0031,64,78,WH-B,1
2024-05-28,P0066,66,22,WH-B,0
2024-05-14,P0088,75,49,WH-B,0
2025-01-28,P0106,68,46,WH-B,0
2024-06-28,P0111,60,72,WH-B,1
2024-10-16,P0069,55,36,WH-B,0
2024-09-10,P0050,61,25,WH-C,0
2024-02-29,P0030,64,66,WH-C,1
2025-01-29,P0103,65,62,WH-C,0
2024-05-25,P0035,68,37,WH-C,0
2024-01-19,P0117,56,79,WH-C,1
2024-05-06,P0059,83,54,WH-C,0
2024-05-20,P0112,70,46,WH-B,0
2024-02-08,P0017,62,36,WH-C,0
2024-09-17,P0095,61,30,WH-A,0
2024-05-25,P0066,78,57,WH-C,0
2024-09-21,P0080,66,56,WH-A,0
2024-01-03,P0021,57,61,WH-A,1
2025-02-16,P0094,66,53,WH-C,0
2024-03-12,P0052,70,66,WH-B,0
2024-10-03,P0065,73,51,WH-B,0
2024-10-27,P0014,57,62,WH-A,1
2024-03-13,P0016,55,75,WH-B,1
2024-02-16,P0055,66,76,WH-A,1
2024-03-05,P0009,59,65,WH-B,1
2024-04-13,P0113,70,65,WH-B,0
2024-03-11,P0008,78,54,WH-B,0
2024-10-10,P0073,68,47,WH-B,0
2024-06-25,P0034,57,73,WH-C,1
2024-08-13,P0109,58,41,WH-C,0
2024-01-20,P0033,72,35,WH-C,0
2024-12-27,P0086,71,65,WH-A,0
2024-03-12,P0094,66,61,WH-C,0
2024-05-31,P0007,70,73,WH-C,1
2024-01-31,P0082,65,59,WH-C,0
2024-02-27,P0021,65,31,WH-B,0
2024-10-06,P0005,48,24,WH-B,0
2024-10-17,P0071,56,45,WH-B,0
2024-10-11,P0012,62,45,WH-B,0
2024-08-19,P0059,75,32,WH-B,0
2025-02-04,P0081,75,43,WH-C,0
2024-08-01,P0058,62,63,WH-C,1
2024-07-07,P0088,55,22,WH-B,0
2024-04-13,P0037,69,51,WH-B,0
2024-02-11,P0108,58,42,WH-C,0
2024-08-18,P0083,71,68,WH-C,0
2024-05-12,P0045,76,71,WH-B,0
2024-08-08,P0080,61,56,WH-A,0
2024-03-27,P0025,59,74,WH-B,1
2024-12-18,P0027,72,57,WH-C,0
2025-02-23,P0051,60,64,WH-A,1
2024-05-15,P0119,58,57,WH-B,0
2024-12-19,P0042,54,32,WH-C,0
2025-01-01,P0108,63,34,WH-C,0
2025-02-22,P0071,59,21,WH-C,0
2024-05-23,P0110,60,30,WH-B,0
2024-11-13,P0042,62,35,WH-B,0
2024-04-06,P0060,59,37,WH-A,0
2024-09-19,P0072,58,53,WH-C,0
2024-10-23,P0079,64,29,WH-C,0
2024-11-07,P0058,72,32,WH-A,0
2024-03-28,P0080,75,51,WH-B,0
2024-12-22,P0072,65,79,WH-C,1
2024-06-25,P0100,67,27,WH-A,0
2024-03-31,P0096,51,26,WH-C,0
2024-08-15,P0081,61,67,WH-B,1
2024-12-28,P0100,58,36,WH-B,0
2025-02-10,P0022,55,60,WH-A,1
2024-11-10,P0096,60,46,WH-A,0
2024-01-03,P0058,63,78,WH-C,1
2024-02-26,P0011,83,27,WH-B,0
2024-02-02,P0109,72,48,WH-B,0
2024-02-12,P0006,54,76,WH-A,1
2024-06-09,P0022,52,71,WH-A,1
2024-05-22,P0078,70,56,WH-C,0
2024-02-17,P0092,59,46,WH-B,0
2025-01-05,P0103,72,56,WH-C,0
2024-09-15,P0012,73,78,WH-C,1
2024-11-30,P0027,59,76,WH-A,1
2024-06-05,P0001,68,43,WH-B,0
2024-06-21,P0064,55,64,WH-A,1
2024-05-13,P0074,66,35,WH-C,0
2024-07-03,P0097,60,45,WH-C,0
2024-09-13,P0080,72,73,WH-B,1
2024-07-26,P0039,57,50,WH-B,0
2024-12-17,P0060,75,46,WH-B,0
2025-01-13,P0116,80,45,WH-B,0
2024-07-16,P0070,54,62,WH-A,1
2024-04-10,P0054,70,34,WH-A,0
2025-01-31,P0025,66,77,WH-A,1
2024-11-04,P0114,64,68,WH-A,1
2024-09-25,P0020,65,34,WH-C,0
2024-11-09,P0036,71,42,WH-A,0
2024-02-01,P0023,68,44,WH-A,0
2024-01-29,P0080,71,63,WH-B,0
2024-03-05,P0001,66,23,WH-C,0
2024-03-02,P0117,72,55,WH-A,0
2024-06-25,P0094,72,72,WH-C,0
2024-03-07,P0027,60,35,WH-C,0
2024-12-24,P0052,64,66,WH-C,1
2024-08-30,P0002,82,59,WH-C,0
2024-06-03,P0112,71,78,WH-B,1
2024-01-30,P0021,83,40,WH-B,0
2024-09-05,P0009,66,71,WH-C,1
2024-02-18,P0111,73,59,WH-C,0
2024-11-08,P0088,72,62,WH-C,0
2024-12-03,P0048,45,72,WH-B,1
2024-08-16,P0105,68,75,WH-B,1
2024-03-03,P0039,67,36,WH-C,0
2024-11-26,P0042,63,22,WH-C,0
2024-05-09,P0071,72,26,WH-C,0
2024-04-03,P0094,66,31,WH-C,0
2024-07-16,P0045,67,20,WH-B,0
2025-01-22,P0002,60,62,WH-A,1
2024-05-04,P0076,58,56,WH-A,0
2025-01-15,P0077,67,25,WH-B,0
2024-01-23,P0067,71,65,WH-B,0
2024-02-05,P0043,64,79,WH-A,1
2024-10-20,P0104,87,68,WH-A,0
2024-03-21,P0107,60,42,WH-A,0
2024-05-12,P0018,66,44,WH-C,0
2024-02-27,P0039,64,44,WH-A,0
2024-05-19,P0108,77,22,WH-A,0
2024-04-27,P0006,61,23,WH-C,0
2024-11-05,P0042,60,49,WH-C,0
2024-10-21,P0052,52,52,WH-B,0
2025-02-05,P0027,69,48,WH-C,0
2024-10-31,P0079,62,23,WH-A,0
2024-10-18,P0116,68,33,WH-C,0
2024-10-18,P0015,61,40,WH-B,0
2025-01-05,P0019,71,26,WH-A,0
2024-05-04,P0062,66,40,WH-B,0
2024-05-06,P0064,66,75,WH-B,1
2024-11-07,P0102,70,26,WH-B,0
2024-04-06,P0051,55,20,WH-C,0
2025-01-18,P0047,54,79,WH-C,1
2024-08-12,P0057,72,53,WH-B,0
2024-05-06,P0020,72,42,WH-B,0
2024-11-21,P0020,60,22,WH-B,0
2024-05-11,P0082,67,37,WH-B,0
2025-02-08,P0064,99,62,WH-C,0
2025-02-16,P0098,65,31,WH-C,0
2024-10-07,P0103,60,33,WH-B,0
2024-02-17,P0101,69,60,WH-C,0
2024-04-20,P0099,52,47,WH-A,0
2024-08-04,P0038,80,61,WH-C,0
2024-12-23,P0038,63,64,WH-B,1
2024-03-18,P0065,55,43,WH-C,0
2024-02-13,P0115,46,43,WH-A,0
2024-02-01,P0076,64,22,WH-A,0
2024-07-31,P0005,66,78,WH-C,1
2025-01-06,P0064,63,77,WH-A,1
2024-01-18,P0027,68,28,WH-A,0
2024-03-30,P0103,50,43,WH-C,0
2024-10-18,P0020,64,79,WH-C,1
2024-12-12,P0060,71,21,WH-C,0
2024-12-05,P0040,69,74,WH-B,1
2024-11-25,P0083,68,59,WH-B,0
2024-02-24,P0102,73,47,WH-A,0
2024-06-15,P0079,74,26,WH-A,0
2025-02-17,P0006,56,28,WH-C,0
2025-02-19,P0073,61,64,WH-A,1
2024-09-10,P0036,70,58,WH-C,0
2024-10-24,P0112,67,79,WH-B,1
2025-02-03,P0087,66,58,WH-C,0
2024-07-07,P0074,52,52,WH-A,0
2024-02-27,P0065,59,53,WH-C,0
2024-10-07,P0011,61,40,WH-C,0
2025-02-07,P0049,38,48,WH-C,1
2024-10-19,P0114,72,46,WH-A,0
2024-12-03,P0084,67,36,WH-C,0
2024-06-26,P0028,80,79,WH-C,0
2024-02-10,P0022,62,61,WH-A,0
2024-03-11,P0084,55,66,WH-B,1
2025-02-16,P0047,64,67,WH-B,1
2024-07-26,P0102,79,42,WH-A,0
2024-01-06,P0080,66,72,WH-B,1
2025-02-05,P0066,74,64,WH-C,0
2024-07-28,P0025,81,40,WH-A,0
2024-12-17,P0091,62,27,WH-C,0
2024-08-18,P0067,74,28,WH-C,0
2024-02-12,P0087,61,77,WH-A,1
2024-09-15,P0032,67,52,WH-C,0
2025-02-22,P0017,59,77,WH-A,1
2024-01-15,P0040,62,23,WH-C,0
2024-12-19,P0084,84,78,WH-B,0
2024-04-08,P0030,62,37,WH-C,0
2024-06-14,P0059,70,51,WH-C,0
2024-06-05,P0028,66,49,WH-A,0
2025-01-12,P0047,64,44,WH-B,0
2024-07-30,P0109,66,76,WH-C,1
2024-07-06,P0117,68,52,WH-C,0
2024-12-09,P0023,45,54,WH-B,1
2024-01-21,P0083,59,61,WH-B,1
2024-02-06,P0057,66,75,WH-B,1
2024-01-10,P0089,70,53,WH-B,0
2024-10-15,P0088,69,69,WH-B,0
2024-08-08,P0001,60,21,WH-C,0
2025-01-02,P0092,65,32,WH-B,0
2024-07-28,P0029,71,72,WH-B,1
2024-04-03,P0108,61,60,WH-C,0
2024-12-04,P0114,57,42,WH-A,0
2024-05-03,P0050,84,42,WH-C,0
2025-01-27,P0064,56,50,WH-A,0
2024-04-15,P0099,59,21,WH-B,0
2024-03-11,P0114,58,21,WH-A,0
2024-07-26,P0081,60,24,WH-C,0
2024-01-22,P0075,62,79,WH-A,1
2024-01-16,P0037,65,33,WH-A,0
2024-07-27,P0118,57,42,WH-A,0
2024-03-31,P0061,66,74,WH-B,1
2024-01-04,P0007,59,76,WH-C,1
2024-05-04,P0090,63,54,WH-A,0
2024-07-19,P0087,48,65,WH-B,1
2024-06-14,P0064,49,20,WH-C,0
2024-02-26,P0018,71,60,WH-C,0
2024-08-31,P0029,65,67,WH-C,1
2024-10-25,P0103,72,68,WH-C,0
2024-10-10,P0114,56,59,WH-B,1
2024-06-14,P0098,81,34,WH-C,0
2024-02-27,P0060,52,49,WH-A,0
2024-07-28,P0102,71,40,WH-C,0
2025-01-08,P0054,48,27,WH-C,0
2024-07-15,P0072,68,26,WH-B,0
2024-03-23,P0021,63,60,WH-A,0
2024-02-09,P0021,78,53,WH-A,0
2025-01-31,P0058,55,76,WH-B,1
2024-11-08,P0049,69,61,WH-B,0
2024-05-11,P0036,74,56,WH-A,0
2024-05-04,P0017,42,67,WH-A,1
2025-01-10,P0080,67,72,WH-C,1
2024-03-15,P0053,57,51,WH-B,0
2024-08-12,P0015,70,52,WH-A,0
2024-10-26,P0079,57,25,WH-A,0
2024-06-15,P0040,75,61,WH-B,0
2024-01-17,P0081,61,29,WH-B,0
2024-04-05,P0051,62,45,WH-A,0
2025-01-13,P0065,79,77,WH-B,0
2024-08-07,P0013,63,70,WH-A,1
2024-12-08,P0038,73,64,WH-A,0
2024-08-21,P0074,72,45,WH-C,0
2025-01-31,P0097,63,38,WH-C,0
2025-01-16,P0026,59,54,WH-B,0
2024-07-21,P0076,69,64,WH-B,0
2024-05-13,P0083,83,23,WH-A,0
2024-09-09,P0015,71,44,WH-C,0
2024-10-10,P0117,62,27,WH-B,0
2024-07-28,P0005,71,31,WH-A,0
2024-12-11,P0002,59,73,WH-C,1
2024-03-17,P0115,53,43,WH-A,0
2024-05-20,P0078,55,43,WH-C,0
2024-10-15,P0093,62,36,WH-A,0
2024-04-13,P0105,79,44,WH-C,0
2024-07-03,P0065,79,52,WH-A,0
2025-02-08,P0077,53,46,WH-A,0
2024-09-19,P0113,80,21,WH-B,0
2025-02-02,P0060,64,28,WH-C,0
2024-10-30,P0096,62,74,WH-C,1
2024-10-31,P0098,67,77,WH-B,1
2024-09-05,P0056,76,52,WH-B,0
2024-02-29,P0118,63,38,WH-A,0
2024-08-06,P0078,70,68,WH-C,0
2024-04-16,P0116,62,24,WH-A,0
2025-02-23,P0119,72,66,WH-A,0
2024-04-22,P0038,70,39,WH-A,0
2024-04-06,P0057,53,43,WH-B,0
2024-09-19,P0102,57,76,WH-C,1
2024-08-02,P0114,59,50,WH-B,0
2024-01-09,P0051,51,63,WH-B,1
2024-02-24,P0041,57,23,WH-C,0
2024-12-06,P0079,65,51,WH-C,0
2024-07-22,P0103,57,66,WH-B,1
2024-03-02,P0070,68,54,WH-B,0
2024-07-14,P0093,62,33,WH-B,0
2024-04-16,P0101,63,55,WH-C,0
2024-04-03,P0083,61,70,WH-C,1
2025-02-06,P0052,55,25,WH-A,0
2024-06-01,P0001,58,36,WH-C,0
2024-01-20,P0085,68,37,WH-B,0
2025-02-11,P0103,56,27,WH-C,0
2024-11-29,P0018,72,70,WH-C,0
2024-04-16,P0027,60,71,WH-C,1
2024-06-20,P0092,78,31,WH-B,0
2024-12-28,P0072,64,36,WH-A,0
2024-05-30,P0095,73,50,WH-A,0
2024-08-26,P0076,53,70,WH-B,1
2024-08-12,P0042,61,20,WH-B,0
2024-06-17,P0006,77,30,WH-A,0
2024-09-25,P0090,72,61,WH-B,0
2024-07-17,P0080,62,35,WH-C,0
2024-01-09,P0094,66,56,WH-C,0
2024-12-08,P0083,49,68,WH-A,1
2024-02-17,P0082,60,47,WH-C,0
2024-07-13,P0024,58,28,WH-A,0
2024-08-31,P0045,55,74,WH-B,1
2024-10-23,P0084,57,78,WH-A,1
2024-06-21,P0071,48,27,WH-A,0
2024-11-04,P0007,72,44,WH-C,0
2024-02-25,P0016,57,29,WH-A,0
2024-10-01,P0058,70,59,WH-A,0
2024-12-13,P0057,65,22,WH-A,0
2025-01-08,P0042,64,74,WH-B,1
2024-08-31,P0111,81,42,WH-C,0
2024-05-11,P0014,71,42,WH-C,0
2024-03-09,P0056,69,63,WH-A,0
2024-05-25,P0012,75,75,WH-A,0
2024-08-14,P0093,75,23,WH-B,0
2024-03-23,P0015,57,78,WH-C,1
2025-02-04,P0008,72,73,WH-C,1
2025-01-11,P0103,70,69,WH-A,0
2024-01-14,P0058,57,42,WH-B,0
2024-08-24,P0053,51,28,WH-B,0
2024-11-27,P0009,61,72,WH-A,1
2024-04-13,P0046,54,23,WH-A,0
2024-08-08,P0092,64,53,WH-A,0
2024-06-19,P0091,71,58,WH-A,0
2024-03-23,P0007,58,37,WH-A,0
2024-09-15,P0044,55,53,WH-B,0
2025-02-21,P0014,62,76,WH-B,1
2024-06-02,P0075,72,53,WH-A,0
2024-08-19,P0096,57,61,WH-A,1
2024-05-17,P0115,62,22,WH-C,0
2025-01-03,P0092,73,38,WH-B,0
2024-12-29,P0006,55,53,WH-B,0
2024-03-16,P0035,78,45,WH-A,0
2025-01-12,P0070,65,54,WH-B,0
2024-03-04,P0061,68,60,WH-B,0
2024-02-10,P0024,65,62,WH-B,0
2024-10-01,P0073,93,50,WH-C,0
2024-06-11,P0002,64,62,WH-B,0
2024-08-10,P0102,66,46,WH-A,0
2024-10-01,P0078,73,22,WH-B,0
