order_month,category,revenue,gross_margin,orders,units,avg_discount,gross_margin_rate
2024-08,,16451.37,360.9200000000001,16,137,0.0635625,0.0219
2024-09,Electrical,23152.45,10954.1,22,196,0.08577272727272728,0.4731
2024-09,Fasteners,58036.96,20931.56,38,342,0.08826315789473685,0.3607
2024-09,Industrial Supplies,28077.22,14153.53,23,183,0.10708695652173914,0.5041
2024-09,Maintenance,40362.56,19189.8,28,244,0.09617857142857143,0.4754
2024-09,Safety,20914.5,2990.4700000000003,20,168,0.10729999999999999,0.143
2024-09,Tools,63662.93,27085.78,40,375,0.08990000000000001,0.4255
2024-09,,24826.94,8698.81,18,186,0.07972222222222222,0.3504
2024-10,Electrical,19863.45,2425.82,23,187,0.07217391304347825,0.1221
2024-10,Fasteners,51794.46,25345.4,33,271,0.0849090909090909,0.4893
2024-10,Industrial Supplies,50968.35,26048.39,27,262,0.09707407407407408,0.5111
2024-10,Maintenance,42186.03,18932.95,29,245,0.09437931034482759,0.4488
2024-10,Safety,30141.41,9318.82,25,240,0.09776,0.3092
2024-10,Tools,56062.41,24484.4,37,332,0.09991891891891892,0.4367
2024-10,,12010.15,2516.7200000000003,14,124,0.08371428571428571,0.2095
2024-11,Electrical,29666.76,9308.880000000001,27,247,0.09044444444444445,0.3138
2024-11,Fasteners,58516.65,27984.57,34,328,0.07785294117647058,0.4782
2024-11,Industrial Supplies,36513.92,22425.12,23,218,0.09286956521739131,0.6142
2024-11,Maintenance,37353.64,22454.87,22,180,0.09595454545454545,0.6011
2024-11,Safety,15044.67,9.320000000000164,14,126,0.07214285714285715,0.0006
2024-11,Tools,53191.55,17519.27,41,367,0.08890243902439024,0.3294
2024-11,,16157.74,-912.4100000000001,18,189,0.07933333333333333,-0.0565
2024-12,Electrical,34417.35,13291.65,25,220,0.1,0.3862
2024-12,Fasteners,69845.22,34169.17,41,390,0.08748780487804879,0.4892
2024-12,Industrial Supplies,45429.270000000004,22445.23,27,244,0.08411111111111111,0.4941
2024-12,Maintenance,53172.74,26251.33,33,291,0.0846060606060606,0.4937
2024-12,Safety,21209.25,9725.880000000001,14,136,0.08199999999999999,0.4586
2024-12,Tools,34841.49,11591.29,26,216,0.08923076923076922,0.3327
2024-12,,19629.63,7088.04,16,158,0.089375,0.3611
2025-01,Electrical,29608.09,4464.34,29,284,0.0983103448275862,0.1508
2025-01,Fasteners,58868.520000000004,21760.81,41,350,0.09278048780487806,0.3697
2025-01,Industrial Supplies,30111.75,14604.67,21,183,0.08980952380952381,0.485
2025-01,Maintenance,24892.23,18487.77,13,122,0.11653846153846154,0.7427
2025-01,Safety,31599.14,12441.16,21,207,0.09461904761904763,0.3937
2025-01,Tools,40189.21,13444.84,30,264,0.08610000000000001,0.3345
2025-01,,10435.050000000001,2257.91,9,85,0.10288888888888889,0.2164
2025-02,Electrical,23153.98,4759.91,18,198,0.09122222222222222,0.2056
2025-02,Fasteners,47815.39,18167.170000000002,30,280,0.09390000000000001,0.3799
2025-02,Industrial Supplies,36222.71,17226.39,23,211,0.10165217391304349,0.4756
2025-02,Maintenance,32486.82,19836.16,19,165,0.09810526315789474,0.6106
2025-02,Safety,18828.89,5416.18,20,146,0.08425,0.2877
2025-02,Tools,26874.100000000002,10736.35,19,168,0.07873684210526316,0.3995
2025-02,,14210.38,6174.2699999999995,12,105,0.12441666666666666,0.4345
